"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"5282","2015-2016","876500","Heritage Academy","Elem/Sec",34,16,35,18,69,34,103
"5283","2015-2016","880078","Heritage Christian Academy","Elem/Sec",36,35,5,10,NA,45,86
"5284","2015-2016","880272","Heritage Christian School","Elementary",29,25,NA,NA,29,25,54
"5285","2015-2016","875864","Heritage Christian School","Elem/Sec",218,227,93,91,311,318,629
"5286","2015-2016","885053","Heritage Community Christian School","Elementary",22,27,NA,NA,22,27,49
"5287","2015-2016","881112","Hidden Valley Amish Private School","Elementary",14,10,NA,NA,14,10,24
"5288","2015-2016","665192","High Park Day School","Elementary",17,5,NA,NA,17,5,22
"5289","2015-2016","880833","High Park Gardens Montessori School","Elementary",38,33,NA,NA,38,33,71
"5290","2015-2016","668650","Higher Marks Educational Institute","Elem/Sec",11,5,5,5,NA,10,26
"5291","2015-2016","882713","Highland Academy of Canada","Secondary",NA,NA,5,5,5,5,10
"5292","2015-2016","882850","Hill Academy, The","Elem/Sec",14,NA,129,17,143,17,160
"5293","2015-2016","887579","Hillcrest Amish Private School","Elementary",10,11,NA,NA,10,11,21
"5294","2015-2016","880698","Hillcrest Private School","Elementary",13,15,NA,NA,13,15,28
"5295","2015-2016","885568","Hillfield Strathallan College","Elem/Sec",332,292,265,191,597,483,1080
"5296","2015-2016","888184","Hillview Christian Day School","Elem/Sec",10,5,5,5,NA,10,25
"5297","2015-2016","875660","Hitherfield School","Elementary",33,30,NA,NA,33,30,63
"5298","2015-2016","665226","Holy Name of Mary College School","Elem/Sec",NA,74,NA,165,NA,239,239
"5299","2015-2016","881481","Holy Trinity Private School","Elem/Sec",177,199,180,173,357,372,729
"5300","2015-2016","668940","Holyrood East Parochial School","Elementary",5,5,NA,NA,5,5,10
"5301","2015-2016","666081","Hope Academy","Elementary",14,5,NA,NA,14,5,19
"5302","2015-2016","884793","Hope Reformed Christian School","Elem/Sec",35,29,5,14,NA,43,83
"5303","2015-2016","883750","Horizons Secondary School","Secondary",NA,NA,5,5,5,5,10
"5304","2015-2016","878227","Howick Maples Parochial School","Elementary",27,33,NA,NA,27,33,60
"5305","2015-2016","665703","Howlett Academy","Elementary",30,22,NA,NA,30,22,52
"5306","2015-2016","879258","Huamei-Bond International College","Secondary",NA,NA,123,78,123,78,201
"5307","2015-2016","666661","Hudson College","Elem/Sec",81,61,63,46,144,107,251
"5308","2015-2016","875996","Humberside Montessori School","Elementary",140,129,NA,NA,140,129,269
"5309","2015-2016","887589","Hummingbird Montessori School","Elementary",12,16,NA,NA,12,16,28
"5310","2015-2016","885304","Huron Christian School","Elementary",65,80,NA,NA,65,80,145
"5311","2015-2016","885212","Huron Hills Parochial School","Elementary",10,14,NA,NA,10,14,24
"5312","2015-2016","888839","IQRA Academy","Secondary",NA,NA,40,14,40,14,54
"5313","2015-2016","878049","IQRA Islamic School","Elementary",104,95,NA,NA,104,95,199
"5314","2015-2016","667586","ISM Elementary School","Elementary",17,45,NA,NA,17,45,62
"5315","2015-2016","665401","ISNA High School","Secondary",NA,NA,109,107,109,107,216
"5316","2015-2016","882925","ISNA Islamic School","Elementary",191,188,NA,NA,191,188,379
"5317","2015-2016","885070","Immanuel Christian School","Elementary",64,62,NA,NA,64,62,126
"5318","2015-2016","885940","Immanuel Christian School","Elementary",34,24,NA,NA,34,24,58
"5319","2015-2016","881662","Immigrants Working Centre - IWC Academy","Secondary",NA,NA,5,10,5,10,15
"5320","2015-2016","884979","Imperial College of Toronto","Secondary",NA,NA,51,23,51,23,74
"5321","2015-2016","666962","Impulse Learning Centre Mini School","Elementary",5,NA,NA,NA,5,NA,5
"5322","2015-2016","886638","Innocent Hearts Academy Secondary School","Secondary",NA,NA,66,30,66,30,96
"5323","2015-2016","667661","Innova Academy","Elementary",18,17,NA,NA,18,17,35
"5324","2015-2016","882483","Integral High School","Secondary",NA,NA,5,NA,5,NA,5
"5325","2015-2016","876577","International Schools for Bright &","Elem/Sec",5,5,5,5,15,12,20
"5326","2015-2016","876402","Internationnal School of Cambridge","Elementary",43,62,NA,NA,43,62,105
"5327","2015-2016","877280","Intola Baptist Church","Elem/Sec",5,5,5,5,5,5,20
"5328","2015-2016","665419","Islamic Education Guidance Centre","Elementary",54,43,NA,NA,54,43,97
"5329","2015-2016","876321","Islamic Foundation School","Elem/Sec",271,291,71,93,342,384,726
"5330","2015-2016","667492","Islamic Foundation School - Durham","Elementary",49,49,NA,NA,49,49,98
"5331","2015-2016","883867","Islamic Institute Al-Rashid","Elem/Sec",66,26,74,10,140,36,176
"5332","2015-2016","880343","Islamic Institute of Toronto Academy","Elementary",132,130,NA,NA,132,130,262
"5333","2015-2016","878375","Islamic School of Hamilton","Elementary",81,114,NA,NA,81,114,195
"5334","2015-2016","666276","Issachar Christian Academy","Elementary",14,19,NA,NA,14,19,33
"5335","2015-2016","666092","J Addison School","Elem/Sec",5,5,63,45,NA,NA,118
"5336","2015-2016","887635","JIC Elementary School","Elementary",54,67,NA,NA,54,67,121
"5337","2015-2016","887099","Jackman Institute of Child Study","Elementary",99,100,NA,NA,99,100,199
"5338","2015-2016","886637","Jarvis District Christian School","Elementary",51,42,NA,NA,51,42,93
"5339","2015-2016","669574","Jaya International High School","Secondary",NA,NA,5,5,5,5,10
"5340","2015-2016","886017","Joan of Arc Academy","Elementary",NA,116,NA,NA,NA,116,116
"5341","2015-2016","885436","John Calvin Private School","Elementary",149,136,NA,NA,149,136,285
"5342","2015-2016","885185","John Knox Christian","Elementary",96,104,NA,NA,96,104,200
"5343","2015-2016","886564","John Knox Christian School","Elementary",141,124,NA,NA,141,124,265
"5344","2015-2016","886785","John Knox Christian School","Elementary",63,57,NA,NA,63,57,120
"5345","2015-2016","886378","John Knox Memorial Christian School","Elementary",81,65,NA,NA,81,65,146
"5346","2015-2016","882992","Jordan Christian School","Elem/Sec",35,39,5,22,NA,61,101
"5347","2015-2016","884480","Junior Academy, The","Elementary",53,26,NA,NA,53,26,79
"5348","2015-2016","665070","K-W Montessori School Inc., The","Elementary",5,5,NA,NA,5,5,10
"5349","2015-2016","886258","KMSCHOOL","Elementary",12,10,NA,NA,12,10,22
"5350","2015-2016","877697","Kanata Academy","Elem/Sec",44,34,NA,NA,44,34,78
"5351","2015-2016","875104","Kanata Montessori Private School","Elementary",85,87,NA,NA,85,87,172
"5352","2015-2016","876810","Kawartha Montessori","Elementary",55,48,NA,NA,55,48,103
"5353","2015-2016","663905","Kawenni:io/Gaweni:yo High School","Secondary",NA,NA,5,10,5,10,15
"5354","2015-2016","663930","Keewaytinook Internet","Secondary",NA,NA,123,138,123,138,261
"5355","2015-2016","878529","Kehila Jewish Community Day School","Elementary",14,5,NA,NA,14,5,19
"5356","2015-2016","878588","Kempenfelt Bay School","Elementary",54,55,NA,NA,54,55,109
"5357","2015-2016","668625","Kendalwood Montessori","Elementary",60,47,NA,NA,60,47,107
"5358","2015-2016","665767","Kendelhurst Academy","Elementary",48,45,NA,NA,48,45,93
"5359","2015-2016","876569","Kenilworth Krest Parochial School","Elementary",19,16,NA,NA,19,16,35
"5360","2015-2016","663654","Kenjgewin Teg","Secondary",NA,NA,5,5,5,5,10
"5361","2015-2016","666491","Kennedy Montessori Private School","Elementary",14,16,NA,NA,14,16,30
"5362","2015-2016","667656","Kent School","Secondary",NA,NA,24,15,24,15,39
"5363","2015-2016","878863","Kew Park Montessori Day School","Elementary",48,42,NA,NA,48,42,90
"5364","2015-2016","665365","Khairul Ummah School","Elem/Sec",106,186,NA,31,106,217,323
"5365","2015-2016","877352","Khalsa Community School","Elem/Sec",580,488,22,16,602,504,1106
"5366","2015-2016","666932","Khalsa School Malton","Elem/Sec",191,148,13,5,204,NA,357
"5367","2015-2016","877581","KinderKollege Elementary School","Elementary",10,5,NA,NA,10,5,15
"5368","2015-2016","885630","King Christian School","Elementary",67,73,NA,NA,67,73,140
"5369","2015-2016","889823","King Heights Academy","Elementary",47,38,NA,NA,47,38,85
"5370","2015-2016","889241","King's Academy","Elementary",5,5,NA,NA,5,5,10
"5371","2015-2016","665398","King's Christian Collegiate","Secondary",NA,NA,334,267,334,267,601
"5372","2015-2016","884720","King's Town Private School","Elementary",21,18,NA,NA,21,18,39
"5373","2015-2016","885830","Kingdom Covenant Academy","Elem/Sec",5,11,11,5,NA,NA,32
"5374","2015-2016","881511","Kingsley Primary School","Elementary",5,13,NA,NA,5,13,18
"5375","2015-2016","885657","Kingston Christian School","Elementary",55,43,NA,NA,55,43,98
"5376","2015-2016","885959","Kingsway College Private High School","Secondary",NA,NA,114,98,114,98,212
"5377","2015-2016","884812","Kingsway College School","Elementary",170,183,NA,NA,170,183,353
"5378","2015-2016","669857","Kisomo Learning Centre","Secondary",NA,NA,18,14,18,14,32
"5379","2015-2016","887676","Kitchener Waterloo Bilingual School","Elementary",176,194,NA,NA,176,194,370
"5380","2015-2016","881708","Kleinburg Christian School","Elementary",74,47,NA,NA,74,47,121
"5381","2015-2016","886945","Knowledge Catalyst Education of Excellen","Secondary",NA,NA,5,5,5,5,10
"5382","2015-2016","667863","Knox Bridge School","Secondary",NA,NA,14,5,14,5,19
"5383","2015-2016","885177","Knox Christian School","Elementary",65,60,NA,NA,65,60,125
"5384","2015-2016","880035","Kohai Educational Centre","Elem/Sec",5,5,12,5,NA,5,27
"5385","2015-2016","876763","Koinonia Christian Academy","Elementary",29,38,NA,NA,29,38,67
"5386","2015-2016","665452","La Citadelle International Academy","Elem/Sec",55,64,5,5,NA,NA,129
"5387","2015-2016","884134","La Maison Montessori House","Elementary",27,28,NA,NA,27,28,55
"5388","2015-2016","887609","Lakedale Amish Parochial","Elementary",13,17,NA,NA,13,17,30
"5389","2015-2016","885371","Lakefield College School","Secondary",NA,NA,199,162,199,162,361
"5390","2015-2016","878359","Lakelet Parochial School","Elementary",10,5,NA,NA,10,5,15
"5391","2015-2016","880729","Lakeshore School","Elementary",28,17,NA,NA,28,17,45
"5392","2015-2016","669546","Lakeside Parochial School","Elementary",5,5,NA,NA,5,5,10
"5393","2015-2016","887889","Lakeview Christian School","Elem/Sec",18,10,5,5,NA,NA,38
"5394","2015-2016","880256","Lakeview Montessori School","Elementary",56,45,NA,NA,56,45,101
"5395","2015-2016","666076","Langside Parochial","Elementary",14,10,NA,NA,14,10,24
"5396","2015-2016","885783","Laureate International College","Secondary",NA,NA,12,5,12,5,17
"5397","2015-2016","887897","Laurentian Hills Christian School","Elementary",173,157,NA,NA,173,157,330
"5398","2015-2016","889281","Le Cercle des savoirs","Elem/Sec",5,5,5,5,10,5,20
"5399","2015-2016","880502","Leahurst College","Elem/Sec",16,11,22,23,38,34,72
"5400","2015-2016","668116","Learning Firm, The","Secondary",NA,NA,5,5,5,5,10
"5401","2015-2016","885331","Learning Genius Academy Inc","Secondary",NA,NA,29,22,29,22,51
"5402","2015-2016","878332","Lee Academy Private Elementary School","Elementary",75,73,NA,NA,75,73,148
"5403","2015-2016","876860","Lennox & Addington Cornerstone Christian","Elementary",16,25,NA,NA,16,25,41
"5404","2015-2016","886769","Leo Baeck Day School, The","Elementary",435,387,NA,NA,435,387,822
"5405","2015-2016","882909","Leonardo Da Vinci Academy of Arts and","Elementary",31,42,NA,NA,31,42,73
"5406","2015-2016","669031","Life Christian Academy Private School","Elem/Sec",5,5,25,5,NA,5,40
"5407","2015-2016","877158","Lilac Grove School","Elementary",5,5,NA,NA,5,5,10
"5408","2015-2016","883704","Linbrook School","Elementary",126,NA,NA,NA,126,NA,126
"5409","2015-2016","886947","Lindale Parochial School","Elementary",23,12,NA,NA,23,12,35
"5410","2015-2016","876186","Linden School, The","Elem/Sec",NA,53,NA,39,NA,92,92
"5411","2015-2016","665758","Link On Learning","Elementary",85,164,NA,NA,85,164,249
"5412","2015-2016","888923","Listowel Christian School","Elementary",81,50,NA,NA,81,50,131
"5413","2015-2016","665757","Little Country School, The","Elementary",5,5,NA,NA,5,5,10
"5414","2015-2016","884176","Little House Montessori School","Elementary",20,30,NA,NA,20,30,50
"5415","2015-2016","889201","Little Owl Preschool Elementary","Elementary",26,22,NA,NA,26,22,48
"5416","2015-2016","883879","Living Hope Christian School","Elem/Sec",31,39,NA,NA,31,39,70
"5417","2015-2016","669329","Lolart School","Secondary",NA,NA,5,5,5,5,10
"5418","2015-2016","885746","London Christian Elementary School","Elementary",100,88,NA,NA,100,88,188
"5419","2015-2016","887404","London Community Hebrew Day School","Elementary",23,21,NA,NA,23,21,44
"5420","2015-2016","885738","London District Christian","Secondary",NA,NA,151,104,151,104,255
"5421","2015-2016","666947","London International Academy","Secondary",NA,NA,365,304,365,304,669
"5422","2015-2016","877557","London Islamic School","Elementary",156,177,NA,NA,156,177,333
"5423","2015-2016","881120","London Waldorf School","Elementary",67,62,NA,NA,67,62,129
"5424","2015-2016","885067","Lote tree Foundation","Elementary",37,34,NA,NA,37,34,71
"5425","2015-2016","666858","Lutherwood Parochial School","Elementary",16,15,NA,NA,16,15,31
"5426","2015-2016","888117","Lycée Claudel","Elem/Sec",372,357,146,132,518,489,1007
"5427","2015-2016","877018","Lycée Français de Toronto","Elem/Sec",176,201,58,54,234,255,489
"5428","2015-2016","663573","Lydia Lois Beardy Memorial","Elem/Sec",NA,NA,5,11,5,11,16
"5429","2015-2016","878014","Lynn-Rose Heights Private School - Elem","Elementary",114,97,NA,NA,114,97,211
"5430","2015-2016","880155","MAC Al-Furqan School","Elementary",5,5,NA,NA,5,5,10
"5431","2015-2016","665027","MAC Maple Grove School","Elementary",104,109,NA,NA,104,109,213
"5432","2015-2016","881090","Mabin School, The","Elementary",79,66,NA,NA,79,66,145
"5433","2015-2016","881298","MacLachlan College","Elem/Sec",84,63,58,32,142,95,237
"5434","2015-2016","875341","Macdonald-Cartier Academy","Elementary",27,32,NA,NA,27,32,59
"5435","2015-2016","665743","Machon Sarah High School","Secondary",NA,NA,NA,5,NA,5,5
"5436","2015-2016","887722","Macton Parochial School","Elementary",11,27,NA,NA,11,27,38
"5437","2015-2016","668301","Madaniyya Academy","Elementary",34,11,NA,NA,34,11,45
"5438","2015-2016","667977","Madina Academy","Secondary",NA,NA,21,15,21,15,36
"5439","2015-2016","666544","Madinah Islamic School","Elementary",51,36,NA,NA,51,36,87
"5440","2015-2016","882911","Madinatul Uloom Academy - Scarborough","Elem/Sec",85,NA,37,NA,122,NA,122
"5441","2015-2016","877492","Madinatul-Uloom Academy","Elem/Sec",68,220,NA,87,68,307,375
"5442","2015-2016","876259","Madresatul Banaat Almuslimaat","Elem/Sec",36,226,NA,71,36,297,333
"5443","2015-2016","668504","Magnificent Minds","Elementary",14,5,NA,NA,14,5,19
"5444","2015-2016","665700","Maingate Islamic Academy","Elementary",82,90,NA,NA,82,90,172
"5445","2015-2016","669285","Makki Islamic Learning Centre","Elementary",118,156,NA,NA,118,156,274
"5446","2015-2016","883812","Malvern Montessori School","Elementary",24,5,NA,NA,24,5,29
"5447","2015-2016","667528","Mamawmatawa Holistic Education Centre","Secondary",NA,NA,29,29,29,29,58
"5448","2015-2016","877859","Manor Montessori School","Elementary",14,5,NA,NA,14,5,19
"5449","2015-2016","665008","Maple Crest Early School Ltd.","Elementary",5,5,NA,NA,5,5,10
"5450","2015-2016","885665","Maple Drive Parochial","Elementary",15,16,NA,NA,15,16,31
"5451","2015-2016","877905","Maple Grove Amish Parochial School","Elementary",5,5,NA,NA,5,5,10
"5452","2015-2016","887730","Maple Grove Parochial","Elementary",21,10,NA,NA,21,10,31
"5453","2015-2016","665776","Maple Grove Parochial School","Elementary",10,11,NA,NA,10,11,21
"5454","2015-2016","885156","Maple Lane","Elementary",5,5,NA,NA,5,5,10
"5455","2015-2016","888206","Maple Lane Private","Elementary",5,10,NA,NA,5,10,15
"5456","2015-2016","884710","Maple Leaf Collegiate","Secondary",NA,NA,14,5,14,5,19
"5457","2015-2016","879177","Maple Leaf International School","Secondary",NA,NA,83,65,83,65,148
"5458","2015-2016","884375","Maple Leaf Montessori School Inc","Elementary",39,40,NA,NA,39,40,79
"5459","2015-2016","883140","Maple View Parochial School","Elementary",15,14,NA,NA,15,14,29
"5460","2015-2016","883498","Mapleton Meadow Parochial School","Elementary",20,18,NA,NA,20,18,38
"5461","2015-2016","889717","Mapleview","Elem/Sec",17,5,5,5,NA,11,32
"5462","2015-2016","877646","Maranatha Christian Academy","Elementary",26,23,NA,NA,26,23,49
"5463","2015-2016","883590","Maranatha Christian Academy","Elem/Sec",107,99,37,37,144,136,280
"5464","2015-2016","882271","Maranatha Christian Day School","Elem/Sec",40,30,5,5,NA,NA,80
"5465","2015-2016","888338","Maranatha Christian School","Elementary",102,109,NA,NA,102,109,211
"5466","2015-2016","666556","March Academy Private School","Elementary",21,5,NA,NA,21,5,26
"5467","2015-2016","884740","Maria Montessori School Inc.","Elementary",57,56,NA,NA,57,56,113
"5468","2015-2016","668779","Marigold Hollow Parochial School","Elementary",16,5,NA,NA,16,5,21
"5469","2015-2016","880032","Mariyah Islamic School","Elementary",5,5,NA,NA,5,5,10
"5470","2015-2016","881380","Markham International College","Secondary",NA,NA,5,5,5,5,10
"5471","2015-2016","881803","Markville Montessori Private School","Elementary",11,15,NA,NA,11,15,26
"5472","2015-2016","884618","Marlborough Academy","Elem/Sec",5,5,NA,5,5,5,15
"5473","2015-2016","884120","Martello Enrichment School Inc","Elementary",29,27,NA,NA,29,27,56
"5474","2015-2016","876160","Mary, Mother of God School","Elem/Sec",37,34,5,10,NA,44,86
"5475","2015-2016","668870","Maryvale Academy of Ottawa","Elementary",31,30,NA,NA,31,30,61
"5476","2015-2016","888751","Matawa Learning Centre Private School","Secondary",NA,NA,19,24,19,24,43
"5477","2015-2016","665181","Matrix Academy","Elementary",5,5,NA,NA,5,5,10
"5478","2015-2016","885754","Matthews Hall","Elementary",143,101,NA,NA,143,101,244
"5479","2015-2016","876674","McDonald International Academy","Secondary",NA,NA,107,70,107,70,177
"5480","2015-2016","886037","McDonald International Academy-North Yo","Secondary",NA,NA,NA,5,NA,5,5
